DateTime,Date,Name,Address,Phone1,Phone2,Total,Recived,Remaning,DueDate,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2022-02-20 12:46:10.447409,2022-02-20,umair,udhwal,123456,123456,200000.0,100000,100000,0,"('Steel 1/2', '1000', '200')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
2022-02-20 12:46:59.593376,2022-02-20,umair,udhwal,123456,123456.0,2000.0,0,102000,0,"('Cement', '200', '10')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
2022-02-20 12:49:24.678177,2022-02-20,umair,udhwal,123456,123456.0,0,50000,52000,0,Payment Recived,0,0,0,0,0,0,0
2022-02-20 12:50:07.243144,2022-02-20,umair,udhwal,123456,123456.0,20000.0,0,72000,0,"('Steel 1/2', '200', '100')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
