DateTime,Date,Name,Address,Phone1,Phone2,Details,Advance
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
26:23.9,21/02/2022,umair,udhwal,3487152607,3355221515,"Cement 500 (710) ,Steel 1/2 (300)",40000
43:32.4,21/02/2022,umair,udhwal,3487152607,3355221515,"Cement 500 (710) ,Steel 1/2 (300)",20000
46:12.9,21/02/2022,umair,udhwal,3487152607,3355221515,,0
50:26.1,21/02/2022,ali,chakral,34582839423,23434234,,0
00:33.9,21/02/2022,kami,chk,333,333,cement 200 (700),50000
02:42.6,21/02/2022,kami,chk,333,333,,0
04:46.5,21/02/2022,lala,udh,22222,222,cement 100 (700),45000
05:17.0,21/02/2022,lala,udh,22222,222,,0
07:47.5,21/02/2022,jani,udh,23,243,cement 100 (700),30000
08:11.5,21/02/2022,jani,udh,23,243,cement 100 (700),2000
12:42.5,21/02/2022,ll,ll,324,,24,2000
13:01.7,21/02/2022,ll,ll,324,NaN,24,0
14:24.4,21/02/2022,jami,we,23,,312,2000
14:17.3,21/02/2022,jami,we,23,NaN,312,1800
19:07.0,21/02/2022,jami,we,23,NaN,312,0
22:27.4,21/02/2022,ali2,chk,123,321,cment 50 (500),15000
23:08.2,21/02/2022,ali2,chk,123,321,,0
28:54.3,21/02/2022,kamal,chakwal,334422,443322,cement 22 210,15000
30:59.0,21/02/2022,iron,chakwal,33224,33224,udhwal,20000
31:39.8,21/02/2022,ism,islamabad,334455,223344,cement 20 (500),5000
32:15.2,21/02/2022,ism,islamabad,334455,223344,cement 20 (500),5000
34:57.7,21/02/2022,ism,islamabad,334455,223344,0,0
2022-02-21 15:09:04.624546,2022-02-21,jalo,kat,1122,2211,,0
2022-02-21 15:13:29.189335,2022-02-21,jalo,kat,1122,2211.0,,0
2022-02-21 22:26:51.822749,2022-02-21,baba,chak,333,333,,0
2022-02-21 23:04:09.120016,2022-02-21,tali,uk,123,123,,0
2022-02-21 23:18:42.202315,2022-02-21,hadi,udhwal,3355221515,3487152607,Cement 200 (500),500000
2022-02-21 23:20:17.268099,2022-02-21,hadi,udhwal,3355221515,3487152607.0,Cement 200 (500),500000
2022-02-21 23:21:45.800988,2022-02-21,hadi,udhwal,3355221515,3487152607.0,Cement 200 (500),500000
2022-02-21 23:24:24.481165,2022-02-21,hadi,udhwal,3355221515,3487152607.0,,0
2022-02-21 23:27:57.442661,2022-02-21,hadi,udhwal,33552215151,,1/2 200,10000
2022-02-21 23:30:00.032838,2022-02-21,jj,udh,3355,3355,,0
2022-02-21 23:53:52.432310,2022-02-21,ad,chk,123,321,cemnt 200,10000
2022-02-21 23:54:30.535840,2022-02-21,ad,chk,123,321.0,cemnt 200,10000
2022-02-21 23:55:08.731113,2022-02-21,ad,chk,123,321.0,,0
